sensor_id,timestamp,equipment_id,temperature_c,vibration_mms,current_a,pressure_bar
S-003745,2024-01-31 20:00,EQ-B02,35.3,1.18,11.9,5.23
S-003746,2024-01-31 20:00,EQ-B03,38.9,1.46,12.8,5.36
S-003747,2024-01-31 20:00,EQ-B04,37.9,1.07,10.3,5.35
S-003748,2024-01-31 20:00,EQ-C02,,2.06,14.5,4.69
S-003749,2024-01-31 20:00,EQ-C03,41.4,1.63,13.6,5.47
S-003750,2024-01-31 20:00,EQ-C04,38.9,1.32,12.5,4.85
S-003751,2024-01-31 22:00,EQ-A01,46.1,1.9,15.4,5.13
S-003752,2024-01-31 22:00,EQ-A02,43.0,2.11,14.1,4.92
S-003753,2024-01-31 22:00,EQ-A03,47.5,2.68,15.6,4.96
S-003754,2024-01-31 22:00,EQ-A04,39.9,2.32,11.8,5.23
S-003755,2024-01-31 22:00,EQ-B01,35.3,0.88,11.8,5.64
S-003756,2024-01-31 22:00,EQ-B02,38.5,1.66,13.7,5.71
S-003757,2024-01-31 22:00,EQ-B03,38.2,2.33,13.5,5.01
S-003758,2024-01-31 22:00,EQ-B04,36.2,1.01,8.7,5.3
S-003759,2024-01-31 22:00,EQ-C01,42.7,1.97,14.0,5.55
S-003760,2024-01-31 22:00,EQ-C02,37.5,1.86,13.4,5.02
S-003761,2024-01-31 22:00,EQ-C03,38.7,1.8,13.1,4.94
S-003762,2024-01-31 22:00,EQ-C04,40.8,0.9,11.9,5.41
S-003763,2024-02-01 00:00,EQ-A02,43.1,2.54,15.6,5.05
S-003764,2024-02-01 00:00,EQ-A03,44.2,3.13,17.6,4.89
S-003765,2024-02-01 00:00,EQ-A04,43.2,,13.4,4.95
S-003766,2024-02-01 00:00,EQ-B01,36.8,1.09,13.1,5.76
S-003767,2024-02-01 00:00,EQ-B03,38.2,,11.7,5.39
S-003768,2024-02-01 00:00,EQ-B04,36.7,0.6,12.1,5.22
S-003769,2024-02-01 00:00,EQ-C01,43.1,,14.1,5.11
S-003770,2024-02-01 00:00,EQ-C02,41.7,2.22,13.9,4.71
S-003771,2024-02-01 00:00,EQ-C03,38.8,1.36,13.6,5.2
S-003772,2024-02-01 00:00,EQ-C04,40.0,1.1,12.4,5.35
S-003773,2024-02-01 02:00,EQ-A01,45.8,2.53,15.0,5.16
S-003774,2024-02-01 02:00,EQ-A02,44.0,2.57,13.2,4.41
S-003775,2024-02-01 02:00,EQ-A03,46.0,2.59,16.1,5.06
S-003776,2024-02-01 02:00,EQ-A04,41.5,1.02,11.1,4.92
S-003777,2024-02-01 02:00,EQ-B01,37.2,1.05,11.1,5.53
S-003778,2024-02-01 02:00,EQ-B02,38.9,1.07,13.0,5.08
S-003779,2024-02-01 02:00,EQ-B03,38.5,1.65,14.1,5.25
S-003780,2024-02-01 02:00,EQ-B04,37.1,1.3,10.8,5.28
S-003781,2024-02-01 02:00,EQ-C01,41.3,1.82,16.2,5.06
S-003782,2024-02-01 02:00,EQ-C02,41.2,2.24,16.0,4.74
S-003783,2024-02-01 02:00,EQ-C03,40.4,1.89,14.6,5.36
S-003784,2024-02-01 02:00,EQ-C04,39.5,1.43,12.7,
S-003785,2024-02-01 04:00,EQ-A01,42.5,2.42,15.8,4.76
S-003786,2024-02-01 04:00,EQ-A03,45.3,2.7,17.1,4.72
S-003787,2024-02-01 04:00,EQ-A04,41.9,1.15,11.9,5.24
S-003788,2024-02-01 04:00,EQ-B01,38.4,1.33,11.5,5.63
S-003789,2024-02-01 04:00,EQ-B02,35.9,1.1,14.6,4.7
S-003790,2024-02-01 04:00,EQ-B03,37.9,0.97,13.9,5.26
S-003791,2024-02-01 04:00,EQ-B04,37.6,1.29,11.7,5.46
S-003792,2024-02-01 04:00,EQ-C01,37.9,1.71,12.6,5.08
S-003793,2024-02-01 04:00,EQ-C02,40.3,2.01,15.2,5.31
S-003794,2024-02-01 04:00,EQ-C03,39.7,,11.9,5.07
S-003795,2024-02-01 04:00,EQ-C04,37.1,0.91,12.9,5.25
S-003796,2024-02-01 06:00,EQ-A01,43.9,3.14,14.8,5.01
S-003797,2024-02-01 06:00,EQ-A02,43.4,2.41,,5.19
S-003798,2024-02-01 06:00,EQ-A03,44.4,3.31,15.4,4.92
S-003799,2024-02-01 06:00,EQ-A04,43.0,1.21,12.8,5.21
S-003800,2024-02-01 06:00,EQ-B01,36.1,1.32,12.5,5.4
S-003801,2024-02-01 06:00,EQ-B02,40.1,1.46,14.1,5.31
S-003802,2024-02-01 06:00,EQ-B03,39.5,1.07,14.0,5.21
S-003803,2024-02-01 06:00,EQ-B04,37.5,1.05,11.2,5.3
S-003804,2024-02-01 06:00,EQ-C01,40.7,1.39,14.5,5.25
S-003805,2024-02-01 06:00,EQ-C02,41.8,2.23,14.9,4.44
S-003806,2024-02-01 06:00,EQ-C03,37.3,1.52,15.5,5.12
S-003807,2024-02-01 06:00,EQ-C04,39.6,,10.8,5.16
S-003808,2024-02-01 08:00,EQ-A01,42.4,2.28,15.6,5.07
S-003809,2024-02-01 08:00,EQ-A02,42.5,2.69,14.6,4.88
S-003810,2024-02-01 08:00,EQ-A03,41.9,3.22,16.4,5.17
S-003811,2024-02-01 08:00,EQ-A04,39.7,1.77,12.8,5.1
S-003812,2024-02-01 08:00,EQ-B01,34.7,,11.3,5.67
S-003813,2024-02-01 08:00,EQ-B02,34.2,1.23,14.2,5.55
S-003814,2024-02-01 08:00,EQ-B03,38.5,1.35,14.5,5.17
S-003815,2024-02-01 08:00,EQ-B04,36.9,1.33,10.1,5.5
S-003816,2024-02-01 08:00,EQ-C01,40.8,1.93,12.9,5.11
S-003817,2024-02-01 08:00,EQ-C02,39.1,1.68,13.1,5.0
S-003818,2024-02-01 08:00,EQ-C03,38.4,1.56,13.4,5.25
S-003819,2024-02-01 10:00,EQ-A01,40.0,2.2,16.7,5.11
S-003820,2024-02-01 10:00,EQ-A02,40.5,2.25,14.3,5.03
S-003821,2024-02-01 10:00,EQ-A03,44.5,2.71,17.5,4.82
S-003822,2024-02-01 10:00,EQ-A04,41.5,1.47,11.2,5.27
S-003823,2024-02-01 10:00,EQ-B01,34.2,0.79,13.6,5.36
S-003824,2024-02-01 10:00,EQ-B02,37.8,1.75,13.1,5.19
S-003825,2024-02-01 10:00,EQ-B03,36.3,1.98,16.2,5.19
S-003826,2024-02-01 10:00,EQ-B04,36.8,1.01,12.0,5.46
S-003827,2024-02-01 10:00,EQ-C01,35.6,,14.7,5.13
S-003828,2024-02-01 10:00,EQ-C02,39.6,1.89,14.9,5.36
S-003829,2024-02-01 10:00,EQ-C03,39.6,5.56,16.0,5.13
S-003830,2024-02-01 10:00,EQ-C04,39.0,1.05,11.6,5.6
S-003831,2024-02-01 12:00,EQ-A01,44.0,,15.4,4.91
S-003832,2024-02-01 12:00,EQ-A02,41.1,2.41,13.9,4.8
S-003833,2024-02-01 12:00,EQ-A03,44.1,2.95,15.3,4.76
S-003834,2024-02-01 12:00,EQ-A04,37.7,1.6,12.5,5.11
S-003835,2024-02-01 12:00,EQ-B01,36.2,1.46,12.1,5.28
S-003836,2024-02-01 12:00,EQ-B02,37.0,1.27,14.5,5.19
S-003837,2024-02-01 12:00,EQ-B03,41.9,1.6,13.8,5.38
S-003838,2024-02-01 12:00,EQ-B04,36.6,0.67,9.6,5.7
S-003839,2024-02-01 12:00,EQ-C01,41.6,1.67,12.6,5.25
S-003840,2024-02-01 12:00,EQ-C02,39.1,1.48,16.2,5.03
S-003841,2024-02-01 12:00,EQ-C03,39.0,2.05,13.3,5.26
S-003842,2024-02-01 12:00,EQ-C04,37.6,1.75,10.9,5.61
S-003843,2024-02-01 14:00,EQ-A01,40.9,2.09,15.5,5.06
S-003844,2024-02-01 14:00,EQ-A02,43.3,2.7,15.5,5.04
S-003845,2024-02-01 14:00,EQ-A03,45.3,3.2,15.0,4.94
S-003846,2024-02-01 14:00,EQ-A04,36.6,1.66,12.7,5.09
S-003847,2024-02-01 14:00,EQ-B01,36.1,0.88,12.2,5.32
S-003848,2024-02-01 14:00,EQ-B02,37.4,1.01,14.5,5.87
S-003849,2024-02-01 14:00,EQ-B03,39.4,0.92,13.3,5.08
S-003850,2024-02-01 14:00,EQ-B04,33.9,1.58,,5.64
S-003851,2024-02-01 14:00,EQ-C01,37.9,1.89,13.9,5.1
S-003852,2024-02-01 14:00,EQ-C02,41.1,1.98,16.4,5.06
S-003853,2024-02-01 14:00,EQ-C03,41.3,1.41,14.9,4.95
S-003854,2024-02-01 14:00,EQ-C04,38.9,1.73,11.4,5.2
S-003855,2024-02-01 16:00,EQ-A01,42.1,2.42,15.7,5.06
S-003856,2024-02-01 16:00,EQ-A02,40.9,2.51,14.2,4.69
S-003857,2024-02-01 16:00,EQ-A03,44.4,3.04,16.3,4.85
S-003858,2024-02-01 16:00,EQ-A04,39.0,2.25,12.4,5.3
S-003859,2024-02-01 16:00,EQ-B01,35.1,1.47,12.8,5.4
S-003860,2024-02-01 16:00,EQ-B02,35.2,1.54,10.8,5.22
S-003861,2024-02-01 16:00,EQ-B03,38.0,1.7,14.7,5.35
S-003862,2024-02-01 16:00,EQ-B04,36.1,0.68,12.2,5.38
S-003863,2024-02-01 16:00,EQ-C02,41.3,1.92,14.4,4.86
S-003864,2024-02-01 16:00,EQ-C03,43.7,2.11,13.1,5.43
S-003865,2024-02-01 16:00,EQ-C04,34.7,1.64,13.0,5.23
S-003866,2024-02-01 18:00,EQ-A01,41.7,2.77,15.7,5.37
S-003867,2024-02-01 18:00,EQ-A02,41.2,2.59,14.4,4.9
S-003868,2024-02-01 18:00,EQ-A03,43.0,3.75,15.1,4.47
S-003869,2024-02-01 18:00,EQ-A04,40.3,1.92,10.5,5.13
S-003870,2024-02-01 18:00,EQ-B01,37.3,1.23,12.1,5.77
S-003871,2024-02-01 18:00,EQ-B02,39.7,1.64,12.7,5.0
S-003872,2024-02-01 18:00,EQ-B03,37.9,,14.0,5.5
S-003873,2024-02-01 18:00,EQ-B04,35.9,1.31,10.4,5.42
S-003874,2024-02-01 18:00,EQ-C01,37.6,1.78,13.2,5.26
S-003875,2024-02-01 18:00,EQ-C02,43.1,2.45,14.7,4.76
S-003876,2024-02-01 18:00,EQ-C03,37.4,1.23,13.8,5.11
S-003877,2024-02-01 18:00,EQ-C04,40.7,1.8,11.4,5.43
S-003878,2024-02-01 20:00,EQ-A01,41.8,1.87,16.2,4.98
S-003879,2024-02-01 20:00,EQ-A02,43.5,2.57,14.1,5.03
S-003880,2024-02-01 20:00,EQ-A03,43.6,2.98,15.7,4.94
S-003881,2024-02-01 20:00,EQ-A04,38.8,1.35,12.5,5.26
S-003882,2024-02-01 20:00,EQ-B01,37.2,0.95,11.6,5.59
S-003883,2024-02-01 20:00,EQ-B02,32.8,1.39,12.9,5.38
S-003884,2024-02-01 20:00,EQ-B03,38.5,,13.2,5.61
S-003885,2024-02-01 20:00,EQ-B04,33.8,0.84,12.4,5.59
S-003886,2024-02-01 20:00,EQ-C01,38.9,1.86,13.8,5.17
S-003887,2024-02-01 20:00,EQ-C02,38.9,1.82,14.1,5.01
S-003888,2024-02-01 20:00,EQ-C03,39.5,2.0,14.0,5.11
S-003889,2024-02-01 20:00,EQ-C04,37.2,1.7,12.5,5.37
S-003890,2024-02-01 22:00,EQ-A01,43.3,2.54,14.9,4.98
S-003891,2024-02-01 22:00,EQ-A02,43.6,3.28,16.4,5.13
S-003892,2024-02-01 22:00,EQ-A03,45.2,3.39,18.3,4.49
S-003893,2024-02-01 22:00,EQ-A04,41.6,1.56,12.8,5.13
S-003894,2024-02-01 22:00,EQ-B01,35.9,1.21,14.1,5.65
S-003895,2024-02-01 22:00,EQ-B02,37.6,1.31,,5.14
S-003896,2024-02-01 22:00,EQ-B03,38.2,1.46,14.0,5.23
S-003897,2024-02-01 22:00,EQ-B04,37.7,,11.3,5.26
S-003898,2024-02-01 22:00,EQ-C01,39.8,2.2,14.4,5.26
S-003899,2024-02-01 22:00,EQ-C02,40.1,2.32,14.2,4.82
S-003900,2024-02-01 22:00,EQ-C03,39.9,1.54,13.6,5.53
S-003901,2024-02-01 22:00,EQ-C04,38.1,1.41,10.5,5.48
S-003902,2024-02-02 00:00,EQ-A01,42.0,2.21,15.5,5.33
S-003903,2024-02-02 00:00,EQ-A02,44.5,2.04,13.4,5.18
S-003904,2024-02-02 00:00,EQ-A03,43.3,3.12,16.1,4.86
S-003905,2024-02-02 00:00,EQ-A04,40.4,2.11,11.8,5.55
S-003906,2024-02-02 00:00,EQ-B01,36.5,1.23,13.3,5.3
S-003907,2024-02-02 00:00,EQ-B02,38.1,1.05,13.7,5.43
S-003908,2024-02-02 00:00,EQ-B03,37.2,1.46,13.6,5.2
S-003909,2024-02-02 00:00,EQ-B04,38.7,1.02,8.8,5.26
S-003910,2024-02-02 00:00,EQ-C01,42.5,1.86,14.0,5.16
S-003911,2024-02-02 00:00,EQ-C02,42.1,2.04,13.1,5.31
S-003912,2024-02-02 00:00,EQ-C03,39.4,1.69,15.0,5.07
S-003913,2024-02-02 00:00,EQ-C04,39.1,1.52,11.5,5.35
S-003914,2024-02-02 02:00,EQ-A01,42.4,2.55,14.3,5.06
S-003915,2024-02-02 02:00,EQ-A02,42.7,2.38,13.9,4.91
S-003916,2024-02-02 02:00,EQ-A03,45.0,3.28,14.0,4.91
S-003917,2024-02-02 02:00,EQ-A04,41.7,1.81,12.9,5.04
S-003918,2024-02-02 02:00,EQ-B01,39.4,0.55,14.1,5.83
S-003919,2024-02-02 02:00,EQ-B02,39.1,1.99,13.9,5.25
S-003920,2024-02-02 02:00,EQ-B03,40.1,1.41,14.9,5.43
S-003921,2024-02-02 02:00,EQ-B04,39.1,1.17,12.4,5.07
S-003922,2024-02-02 02:00,EQ-C01,40.0,1.53,15.2,5.3
S-003923,2024-02-02 02:00,EQ-C02,40.8,2.16,15.1,5.17
S-003924,2024-02-02 02:00,EQ-C03,41.4,2.26,15.2,5.36
S-003925,2024-02-02 02:00,EQ-C04,39.1,1.08,13.6,4.92
S-003926,2024-02-02 04:00,EQ-A01,53.3,2.2,13.7,4.67
S-003927,2024-02-02 04:00,EQ-A02,40.1,2.82,14.7,4.96
S-003928,2024-02-02 04:00,EQ-A03,45.0,,14.8,4.47
S-003929,2024-02-02 04:00,EQ-A04,42.0,1.79,10.2,5.2
S-003930,2024-02-02 04:00,EQ-B01,37.6,1.53,12.7,5.63
S-003931,2024-02-02 04:00,EQ-B02,39.7,0.6,14.4,5.32
S-003932,2024-02-02 04:00,EQ-B03,39.6,1.33,13.7,5.56
S-003933,2024-02-02 04:00,EQ-B04,37.7,1.05,9.0,5.64
S-003934,2024-02-02 04:00,EQ-C01,38.5,1.45,13.7,5.31
S-003935,2024-02-02 04:00,EQ-C02,39.7,1.89,14.9,5.19
S-003936,2024-02-02 04:00,EQ-C03,39.0,1.93,13.8,5.02
S-003937,2024-02-02 04:00,EQ-C04,39.9,1.92,13.0,5.12
S-003938,2024-02-02 06:00,EQ-A01,43.8,2.37,14.9,4.96
S-003939,2024-02-02 06:00,EQ-A02,40.5,1.89,14.4,4.82
S-003940,2024-02-02 06:00,EQ-A03,43.8,2.33,14.6,4.94
S-003941,2024-02-02 06:00,EQ-A04,41.9,1.91,12.9,5.12
S-003942,2024-02-02 06:00,EQ-B01,37.4,1.35,12.9,5.31
S-003943,2024-02-02 06:00,EQ-B02,38.2,1.54,12.1,5.19
S-003944,2024-02-02 06:00,EQ-B03,38.9,1.08,13.5,5.15
S-003945,2024-02-02 06:00,EQ-B04,38.1,0.83,10.5,5.39
S-003946,2024-02-02 06:00,EQ-C01,39.9,1.39,13.7,5.47
S-003947,2024-02-02 06:00,EQ-C02,40.7,1.44,13.4,5.01
S-003948,2024-02-02 06:00,EQ-C03,43.0,1.2,12.8,5.28
S-003949,2024-02-02 06:00,EQ-C04,40.0,1.83,12.8,4.98
S-003950,2024-02-02 08:00,EQ-A01,41.7,3.06,14.8,4.89
S-003951,2024-02-02 08:00,EQ-A02,42.4,2.43,14.5,4.89
S-003952,2024-02-02 08:00,EQ-A03,45.3,2.5,15.3,4.75
S-003953,2024-02-02 08:00,EQ-A04,39.8,1.62,12.3,5.08
S-003954,2024-02-02 08:00,EQ-B01,38.0,1.4,11.7,5.57
S-003955,2024-02-02 08:00,EQ-B03,39.7,1.6,13.5,5.14
S-003956,2024-02-02 08:00,EQ-C01,40.3,2.37,12.8,5.07
S-003957,2024-02-02 08:00,EQ-C02,38.1,2.05,14.4,4.76
S-003958,2024-02-02 08:00,EQ-C03,35.1,1.9,14.3,4.97
S-003959,2024-02-02 08:00,EQ-C04,36.8,7.21,11.2,5.3
S-003960,2024-02-02 10:00,EQ-A01,42.7,2.94,15.2,5.4
S-003961,2024-02-02 10:00,EQ-A02,41.2,2.31,11.8,4.64
S-003962,2024-02-02 10:00,EQ-A03,43.7,3.02,18.5,5.09
S-003963,2024-02-02 10:00,EQ-A04,39.7,2.15,11.0,5.33
S-003964,2024-02-02 10:00,EQ-B01,36.1,1.63,15.1,5.6
S-003965,2024-02-02 10:00,EQ-B02,34.4,0.78,13.5,5.4
S-003966,2024-02-02 10:00,EQ-B03,37.3,1.64,14.1,5.54
S-003967,2024-02-02 10:00,EQ-B04,34.2,0.77,10.8,5.84
S-003968,2024-02-02 10:00,EQ-C01,38.6,1.93,13.7,4.99
S-003969,2024-02-02 10:00,EQ-C02,,2.25,15.4,5.14
S-003970,2024-02-02 10:00,EQ-C03,39.0,0.92,12.9,5.18
S-003971,2024-02-02 10:00,EQ-C04,40.3,7.38,11.6,5.27
S-003972,2024-02-02 12:00,EQ-A01,42.2,2.56,16.1,5.06
S-003973,2024-02-02 12:00,EQ-A02,40.6,2.38,15.6,4.93
S-003974,2024-02-02 12:00,EQ-A03,45.4,3.11,15.8,5.04
S-003975,2024-02-02 12:00,EQ-A04,43.6,1.32,11.8,5.18
S-003976,2024-02-02 12:00,EQ-B01,35.8,,12.3,5.42
S-003977,2024-02-02 12:00,EQ-B02,36.6,1.34,14.3,5.31
S-003978,2024-02-02 12:00,EQ-B03,39.1,2.02,15.2,5.36
S-003979,2024-02-02 12:00,EQ-B04,38.2,1.23,10.0,5.62
S-003980,2024-02-02 12:00,EQ-C01,39.4,2.27,14.6,4.86
S-003981,2024-02-02 12:00,EQ-C03,40.0,1.22,14.1,5.22
S-003982,2024-02-02 12:00,EQ-C04,36.7,1.77,11.9,5.14
S-003983,2024-02-02 14:00,EQ-A01,43.1,2.54,14.8,4.82
S-003984,2024-02-02 14:00,EQ-A02,40.8,2.44,14.4,5.09
S-003985,2024-02-02 14:00,EQ-A03,45.9,3.29,14.8,5.12
S-003986,2024-02-02 14:00,EQ-A04,39.0,2.15,11.3,5.24
S-003987,2024-02-02 14:00,EQ-B01,35.9,0.73,12.7,5.48
S-003988,2024-02-02 14:00,EQ-B02,39.8,1.2,14.1,5.28
S-003989,2024-02-02 14:00,EQ-B03,36.7,1.26,12.7,5.41
S-003990,2024-02-02 14:00,EQ-B04,35.8,1.19,11.1,5.46
S-003991,2024-02-02 14:00,EQ-C01,39.6,1.87,15.4,5.01
S-003992,2024-02-02 14:00,EQ-C02,42.5,1.99,14.2,5.08
S-003993,2024-02-02 14:00,EQ-C03,39.5,2.07,12.4,5.51
S-003994,2024-02-02 14:00,EQ-C04,35.4,1.88,12.2,5.31
S-003995,2024-02-02 16:00,EQ-A01,42.3,2.27,16.4,4.99
S-003996,2024-02-02 16:00,EQ-A02,42.3,1.64,14.5,4.85
S-003997,2024-02-02 16:00,EQ-A03,39.2,3.01,13.8,4.73
S-003998,2024-02-02 16:00,EQ-A04,38.6,1.89,12.5,4.78
S-003999,2024-02-02 16:00,EQ-B01,38.1,1.2,12.9,5.57
S-004000,2024-02-02 16:00,EQ-B02,38.0,0.93,12.7,5.68
S-004001,2024-02-02 16:00,EQ-B03,37.4,2.02,13.7,5.36
S-004002,2024-02-02 16:00,EQ-B04,35.6,1.19,11.8,5.57
S-004003,2024-02-02 16:00,EQ-C01,41.3,1.56,13.3,5.25
S-004004,2024-02-02 16:00,EQ-C02,40.6,2.46,13.8,5.1
S-004005,2024-02-02 16:00,EQ-C03,40.2,1.8,15.7,5.31
S-004006,2024-02-02 16:00,EQ-C04,39.6,1.9,12.8,4.95
S-004007,2024-02-02 18:00,EQ-A01,41.0,3.47,15.7,5.04
S-004008,2024-02-02 18:00,EQ-A02,40.8,2.45,15.5,5.08
S-004009,2024-02-02 18:00,EQ-A03,44.0,2.96,16.3,4.92
S-004010,2024-02-02 18:00,EQ-A04,40.7,2.69,11.3,5.23
S-004011,2024-02-02 18:00,EQ-B01,36.1,1.39,12.6,5.67
S-004012,2024-02-02 18:00,EQ-B02,37.1,1.59,12.2,5.3
S-004013,2024-02-02 18:00,EQ-B03,39.7,1.8,13.2,5.54
S-004014,2024-02-02 18:00,EQ-B04,37.8,1.19,10.4,5.49
S-004015,2024-02-02 18:00,EQ-C01,41.5,1.57,14.1,5.02
S-004016,2024-02-02 18:00,EQ-C02,41.4,1.89,13.8,4.93
S-004017,2024-02-02 18:00,EQ-C03,39.0,1.68,12.3,5.32
S-004018,2024-02-02 18:00,EQ-C04,38.0,1.35,11.5,5.56
S-004019,2024-02-02 20:00,EQ-A01,41.0,1.91,14.6,4.73
S-004020,2024-02-02 20:00,EQ-A02,41.1,2.41,15.7,4.98
S-004021,2024-02-02 20:00,EQ-A03,43.9,3.48,16.4,5.13
S-004022,2024-02-02 20:00,EQ-A04,35.7,1.97,13.0,5.01
S-004023,2024-02-02 20:00,EQ-B01,32.5,1.36,12.0,5.52
S-004024,2024-02-02 20:00,EQ-B02,39.2,0.81,15.1,4.84
S-004025,2024-02-02 20:00,EQ-B03,37.3,1.1,16.1,5.28
S-004026,2024-02-02 20:00,EQ-B04,36.1,1.21,12.7,5.36
S-004027,2024-02-02 20:00,EQ-C01,38.5,1.62,14.1,5.16
S-004028,2024-02-02 20:00,EQ-C02,40.6,2.58,14.3,5.14
S-004029,2024-02-02 20:00,EQ-C03,38.2,1.75,14.7,5.19
S-004030,2024-02-02 20:00,EQ-C04,37.8,1.68,11.9,5.49
S-004031,2024-02-02 22:00,EQ-A01,45.4,2.16,15.3,4.94
S-004032,2024-02-02 22:00,EQ-A02,40.7,2.21,,4.92
S-004033,2024-02-02 22:00,EQ-A03,45.7,,17.9,4.69
S-004034,2024-02-02 22:00,EQ-A04,43.9,1.13,12.7,5.09
S-004035,2024-02-02 22:00,EQ-B01,35.4,1.01,12.4,5.44
S-004036,2024-02-02 22:00,EQ-B02,39.7,0.9,13.0,5.24
S-004037,2024-02-02 22:00,EQ-B03,38.8,1.94,15.7,5.05
S-004038,2024-02-02 22:00,EQ-B04,37.0,1.25,11.3,5.59
S-004039,2024-02-02 22:00,EQ-C01,40.4,1.76,12.5,5.34
S-004040,2024-02-02 22:00,EQ-C02,42.5,,14.5,4.88
S-004041,2024-02-02 22:00,EQ-C03,42.3,1.94,15.1,5.18
S-004042,2024-02-02 22:00,EQ-C04,38.4,1.44,12.6,5.46
S-004043,2024-02-03 00:00,EQ-A01,43.2,3.23,14.1,4.93
S-004044,2024-02-03 00:00,EQ-A02,42.1,2.49,13.1,5.07
S-004045,2024-02-03 00:00,EQ-A03,45.0,2.88,15.5,4.96
S-004046,2024-02-03 00:00,EQ-A04,42.7,2.01,12.4,5.27
S-004047,2024-02-03 00:00,EQ-B01,37.0,1.14,14.2,4.98
S-004048,2024-02-03 00:00,EQ-B03,39.5,1.73,14.1,5.45
S-004049,2024-02-03 00:00,EQ-B04,38.9,1.2,13.0,5.44
S-004050,2024-02-03 00:00,EQ-C01,38.5,2.09,13.8,5.22
S-004051,2024-02-03 00:00,EQ-C02,41.9,2.42,13.8,5.37
S-004052,2024-02-03 00:00,EQ-C03,41.3,2.29,14.0,5.43
S-004053,2024-02-03 00:00,EQ-C04,,,14.0,5.23
S-004054,2024-02-03 02:00,EQ-A01,43.1,2.22,14.2,4.95
S-004055,2024-02-03 02:00,EQ-A02,43.4,2.16,14.1,4.92
S-004056,2024-02-03 02:00,EQ-A03,45.4,3.19,16.5,4.72
S-004057,2024-02-03 02:00,EQ-A04,42.3,1.88,9.0,
S-004058,2024-02-03 02:00,EQ-B01,37.1,0.93,12.4,5.57
S-004059,2024-02-03 02:00,EQ-B02,36.0,1.66,15.4,5.21
S-004060,2024-02-03 02:00,EQ-B03,38.1,1.14,15.0,5.0
S-004061,2024-02-03 02:00,EQ-B04,38.9,1.21,10.8,5.62
S-004062,2024-02-03 02:00,EQ-C01,37.8,2.12,14.5,5.42
S-004063,2024-02-03 02:00,EQ-C02,42.0,2.12,15.8,4.89
S-004064,2024-02-03 02:00,EQ-C03,42.9,1.81,13.9,5.08
S-004065,2024-02-03 02:00,EQ-C04,39.5,0.88,10.2,5.51
S-004066,2024-02-03 04:00,EQ-A01,43.1,2.56,15.3,5.09
S-004067,2024-02-03 04:00,EQ-A02,43.2,2.4,15.4,4.97
S-004068,2024-02-03 04:00,EQ-A03,44.5,3.15,15.3,5.07
S-004069,2024-02-03 04:00,EQ-A04,38.9,1.7,11.1,5.31
S-004070,2024-02-03 04:00,EQ-B01,38.4,0.91,14.2,5.19
S-004071,2024-02-03 04:00,EQ-B02,37.2,1.95,13.8,4.99
S-004072,2024-02-03 04:00,EQ-B03,42.6,1.29,14.7,5.11
S-004073,2024-02-03 04:00,EQ-B04,37.1,0.95,9.9,5.38
S-004074,2024-02-03 04:00,EQ-C01,43.2,1.48,13.3,5.61
S-004075,2024-02-03 04:00,EQ-C02,38.7,1.91,16.1,5.09
S-004076,2024-02-03 04:00,EQ-C03,39.3,2.17,12.6,5.53
S-004077,2024-02-03 04:00,EQ-C04,39.4,2.02,11.8,5.1
S-004078,2024-02-03 06:00,EQ-A01,43.7,2.25,15.3,4.73
S-004079,2024-02-03 06:00,EQ-A02,41.2,2.43,,4.97
S-004080,2024-02-03 06:00,EQ-A03,44.9,3.21,14.5,4.51
S-004081,2024-02-03 06:00,EQ-A04,41.1,2.05,11.8,5.1
S-004082,2024-02-03 06:00,EQ-B01,33.8,0.74,14.0,5.11
S-004083,2024-02-03 06:00,EQ-B02,41.5,1.08,13.7,5.76
S-004084,2024-02-03 06:00,EQ-B03,38.3,1.99,14.7,5.42
S-004085,2024-02-03 06:00,EQ-B04,37.3,1.62,9.4,5.34
S-004086,2024-02-03 06:00,EQ-C01,38.0,2.1,13.0,5.13
S-004087,2024-02-03 06:00,EQ-C02,42.4,2.02,13.8,4.98
S-004088,2024-02-03 06:00,EQ-C03,41.0,1.2,14.8,5.35
S-004089,2024-02-03 06:00,EQ-C04,40.5,0.69,11.3,5.1
S-004090,2024-02-03 08:00,EQ-A01,43.1,2.77,14.4,5.13
S-004091,2024-02-03 08:00,EQ-A02,42.5,2.27,13.3,5.28
S-004092,2024-02-03 08:00,EQ-A03,46.3,10.66,17.9,4.79
S-004093,2024-02-03 08:00,EQ-A04,41.9,1.75,10.4,5.39
S-004094,2024-02-03 08:00,EQ-B01,37.9,1.51,12.3,5.41
S-004095,2024-02-03 08:00,EQ-B02,36.0,2.25,13.1,5.13
S-004096,2024-02-03 08:00,EQ-B03,36.8,1.12,12.8,5.29
S-004097,2024-02-03 08:00,EQ-C01,40.9,1.97,14.2,4.98
S-004098,2024-02-03 08:00,EQ-C02,37.6,2.17,12.5,4.9
S-004099,2024-02-03 08:00,EQ-C03,35.7,1.71,12.7,4.94
S-004100,2024-02-03 08:00,EQ-C04,36.2,0.99,11.3,5.63
S-004101,2024-02-03 10:00,EQ-A01,41.6,2.47,15.5,5.45
S-004102,2024-02-03 10:00,EQ-A02,43.4,2.36,14.4,5.29
S-004103,2024-02-03 10:00,EQ-A03,41.6,2.86,18.2,4.75
