param_id,record_date,shift,line,product_code,temperature_c,pressure_bar,spindle_speed_rpm,feed_rate_mmmin,coolant_flow_lmin,vibration_mms,has_defect
PP-00263,2024-01-27,주간,C라인,PRD-001,41.1,5.16,3263.0,162.5,15.6,0.295,1
PP-00264,2024-01-27,주간,C라인,PRD-005,42.2,4.69,3131.0,201.7,15.6,0.879,0
PP-00265,2024-01-29,주간,A라인,PRD-004,48.7,4.33,3047.0,178.9,11.3,0.261,0
PP-00266,2024-01-29,주간,A라인,PRD-003,43.5,4.73,2904.0,228.6,15.8,0.306,0
PP-00267,2024-01-29,야간,A라인,PRD-004,45.4,4.83,2849.0,218.3,11.9,0.334,0
PP-00268,2024-01-29,야간,A라인,PRD-004,44.8,5.14,2937.0,221.4,14.4,0.252,0
PP-00269,2024-01-29,주간,B라인,PRD-005,36.7,4.25,3069.0,227.8,16.3,0.31,0
PP-00270,2024-01-29,주간,B라인,PRD-002,38.9,5.01,2577.0,175.3,14.6,0.297,0
PP-00271,2024-01-29,야간,B라인,PRD-005,37.5,4.44,3308.0,193.9,17.9,0.128,0
PP-00272,2024-01-29,야간,B라인,PRD-006,39.3,4.29,3090.0,200.6,16.2,0.262,0
PP-00273,2024-01-29,주간,C라인,PRD-005,37.7,4.59,2995.0,210.3,17.0,0.21,0
PP-00274,2024-01-29,주간,C라인,PRD-005,42.2,4.92,2712.0,186.1,16.6,0.549,0
PP-00275,2024-01-29,야간,C라인,PRD-003,40.8,4.86,2753.0,204.5,12.2,0.361,0
PP-00276,2024-01-29,야간,C라인,PRD-003,39.8,5.57,3217.0,178.4,16.3,0.819,0
PP-00277,2024-01-30,주간,A라인,PRD-004,41.2,4.81,3083.0,174.5,18.1,0.815,0
PP-00278,2024-01-30,주간,A라인,PRD-003,44.5,5.59,3347.0,189.2,12.8,0.579,0
PP-00279,2024-01-30,야간,A라인,PRD-003,40.9,4.16,2813.0,177.3,13.5,0.406,0
PP-00280,2024-01-30,야간,A라인,PRD-003,41.9,5.23,3274.0,193.8,15.1,0.481,0
PP-00281,2024-01-30,주간,B라인,PRD-002,34.9,5.28,2917.0,193.9,14.8,0.116,0
PP-00282,2024-01-30,주간,B라인,PRD-005,,4.65,3230.0,156.6,14.0,0.469,0
PP-00283,2024-01-30,야간,B라인,PRD-002,35.4,5.31,2998.0,230.7,10.2,0.173,0
PP-00284,2024-01-30,야간,B라인,PRD-002,36.9,5.29,3217.0,173.6,15.8,0.316,0
PP-00285,2024-01-30,주간,C라인,PRD-001,39.3,4.61,3013.0,182.1,11.9,0.648,0
PP-00286,2024-01-30,주간,C라인,PRD-005,39.0,4.72,3105.0,219.2,17.4,0.25,1
PP-00287,2024-01-30,야간,C라인,PRD-001,41.0,6.04,3115.0,195.3,18.0,0.135,0
PP-00288,2024-01-30,야간,C라인,PRD-005,38.5,4.08,3329.0,211.3,14.2,0.267,0
PP-00289,2024-01-31,주간,A라인,PRD-003,38.1,5.94,2995.0,197.4,15.6,0.872,0
PP-00290,2024-01-31,주간,A라인,PRD-004,31.1,5.45,3439.0,152.7,14.2,0.297,0
PP-00291,2024-01-31,야간,A라인,PRD-001,38.2,5.63,3198.0,169.9,12.2,0.852,0
PP-00292,2024-01-31,야간,A라인,PRD-003,45.8,5.04,2944.0,196.4,15.3,0.365,0
PP-00293,2024-01-31,주간,B라인,PRD-002,37.4,4.65,3064.0,206.3,14.2,0.254,0
PP-00294,2024-01-31,주간,B라인,PRD-005,34.9,5.5,3107.0,185.6,15.3,0.331,0
PP-00295,2024-01-31,야간,B라인,PRD-002,36.6,4.97,3027.0,175.8,10.8,0.337,0
PP-00296,2024-01-31,야간,B라인,PRD-006,37.6,5.58,3106.0,218.5,14.9,0.237,0
PP-00297,2024-01-31,주간,C라인,PRD-003,43.1,5.04,3392.0,208.1,10.9,0.726,0
PP-00298,2024-01-31,주간,C라인,PRD-005,39.0,4.96,2906.0,208.6,14.1,0.135,0
PP-00299,2024-01-31,야간,C라인,PRD-005,36.4,4.95,2833.0,214.1,12.3,0.102,0
PP-00300,2024-01-31,야간,C라인,PRD-001,44.1,4.94,3438.0,185.7,15.7,0.773,0
PP-00301,2024-02-01,주간,A라인,PRD-001,43.4,5.37,2857.0,157.3,15.3,0.497,0
PP-00302,2024-02-01,주간,A라인,PRD-003,45.4,4.88,3092.0,203.3,12.4,0.315,0
PP-00303,2024-02-01,야간,A라인,PRD-003,36.7,4.41,2722.0,210.0,15.2,0.659,0
PP-00304,2024-02-01,야간,A라인,PRD-004,42.2,4.13,3415.0,221.9,11.2,0.273,0
PP-00305,2024-02-01,주간,B라인,PRD-002,43.3,4.47,3322.0,235.2,13.4,0.312,0
PP-00306,2024-02-01,주간,B라인,PRD-006,37.8,5.23,2671.0,148.2,14.3,0.307,0
PP-00307,2024-02-01,야간,B라인,PRD-002,37.1,5.4,2993.0,208.5,14.2,0.296,0
PP-00308,2024-02-01,야간,B라인,PRD-006,39.6,5.31,3019.0,214.7,16.4,0.585,0
PP-00309,2024-02-01,주간,C라인,PRD-005,38.1,5.66,3091.0,211.9,16.8,0.329,0
PP-00310,2024-02-01,주간,C라인,PRD-003,38.7,4.24,3067.0,209.7,13.2,0.199,1
PP-00311,2024-02-01,야간,C라인,PRD-003,45.8,4.08,2963.0,207.6,18.4,0.162,0
PP-00312,2024-02-01,야간,C라인,PRD-005,38.7,4.93,3203.0,179.4,10.3,0.211,0
PP-00313,2024-02-02,주간,A라인,PRD-004,44.3,4.32,3043.0,169.3,16.2,0.819,0
PP-00314,2024-02-02,주간,A라인,PRD-003,42.1,4.83,3018.0,184.3,19.3,0.598,0
PP-00315,2024-02-02,야간,A라인,PRD-003,39.9,5.12,3045.0,198.1,16.3,1.528,0
PP-00316,2024-02-02,야간,A라인,PRD-001,40.3,4.97,2897.0,191.8,17.1,0.362,0
PP-00317,2024-02-02,주간,B라인,PRD-005,39.3,5.51,3152.0,191.1,16.9,0.397,0
PP-00318,2024-02-02,주간,B라인,PRD-002,37.0,4.88,2811.0,193.3,12.2,0.368,0
PP-00319,2024-02-02,야간,B라인,PRD-002,39.0,4.85,3134.0,229.6,16.2,0.76,0
PP-00320,2024-02-02,야간,B라인,PRD-006,38.0,5.67,2742.0,199.7,15.0,0.123,0
PP-00321,2024-02-02,주간,C라인,PRD-005,42.3,4.93,3215.0,197.2,11.6,0.489,0
PP-00322,2024-02-02,주간,C라인,PRD-003,40.9,3.54,2794.0,205.7,17.6,0.717,0
PP-00323,2024-02-02,야간,C라인,PRD-001,36.7,4.99,3099.0,206.9,14.2,0.25,0
PP-00324,2024-02-02,야간,C라인,PRD-001,38.6,5.19,2745.0,171.1,17.4,0.223,0
PP-00325,2024-02-03,주간,A라인,PRD-004,47.0,4.63,2571.0,137.7,9.7,0.312,0
PP-00326,2024-02-03,주간,A라인,PRD-003,42.1,5.37,3183.0,179.2,20.0,0.313,0
PP-00327,2024-02-03,주간,B라인,PRD-002,33.5,4.27,3090.0,227.6,14.0,0.734,0
PP-00328,2024-02-03,주간,B라인,PRD-006,36.8,4.16,2968.0,182.2,15.3,0.13,0
PP-00329,2024-02-03,주간,C라인,PRD-001,40.4,4.89,3344.0,205.3,10.3,0.249,0
PP-00330,2024-02-03,주간,C라인,PRD-001,38.2,4.97,3076.0,228.3,14.5,0.454,0
PP-00331,2024-02-05,주간,A라인,PRD-004,39.8,5.18,2927.0,201.8,13.9,0.54,0
PP-00332,2024-02-05,주간,A라인,PRD-001,43.1,4.77,3069.0,204.7,13.1,0.403,0
PP-00333,2024-02-05,야간,A라인,PRD-001,44.9,5.14,3077.0,207.7,17.2,,0
PP-00334,2024-02-05,야간,A라인,PRD-001,47.1,4.12,3145.0,209.0,16.3,0.31,0
PP-00335,2024-02-05,주간,B라인,PRD-005,39.7,3.73,3287.0,171.2,13.2,0.263,0
PP-00336,2024-02-05,주간,B라인,PRD-002,37.5,5.3,3052.0,188.5,13.0,0.281,0
PP-00337,2024-02-05,야간,B라인,PRD-006,37.6,4.91,3125.0,183.7,14.6,0.344,0
PP-00338,2024-02-05,야간,B라인,PRD-002,35.0,4.82,2643.0,203.3,15.1,0.43,0
PP-00339,2024-02-05,주간,C라인,PRD-001,40.8,5.15,2904.0,219.0,13.9,0.587,0
PP-00340,2024-02-05,주간,C라인,PRD-003,40.9,4.68,2915.0,196.0,9.6,0.247,0
PP-00341,2024-02-05,야간,C라인,PRD-003,37.1,4.84,2894.0,196.9,16.7,1.421,0
PP-00342,2024-02-05,야간,C라인,PRD-003,40.1,5.85,3120.0,174.8,14.1,1.006,0
PP-00343,2024-02-06,주간,A라인,PRD-004,45.8,3.87,2631.0,192.3,,0.603,0
PP-00344,2024-02-06,주간,A라인,PRD-001,44.2,5.61,2918.0,180.1,14.5,0.968,0
PP-00345,2024-02-06,야간,A라인,PRD-003,40.7,4.81,3241.0,160.8,14.5,0.873,0
PP-00346,2024-02-06,야간,A라인,PRD-003,43.8,5.37,2920.0,165.5,13.3,0.894,0
PP-00347,2024-02-06,주간,B라인,PRD-005,37.8,4.07,2760.0,199.3,13.2,0.194,0
PP-00348,2024-02-06,주간,B라인,PRD-005,39.3,4.53,3020.0,212.3,13.2,0.106,0
PP-00349,2024-02-06,야간,B라인,PRD-006,39.2,4.95,3059.0,164.2,14.3,1.428,0
PP-00350,2024-02-06,야간,B라인,PRD-006,38.7,4.91,2842.0,206.9,18.6,0.417,0
PP-00351,2024-02-06,주간,C라인,PRD-003,44.1,5.45,2785.0,191.2,13.5,0.506,0
PP-00352,2024-02-06,주간,C라인,PRD-005,34.0,5.1,3034.0,170.9,16.4,0.547,0
PP-00353,2024-02-06,야간,C라인,PRD-003,39.7,4.24,3018.0,197.9,12.2,,0
PP-00354,2024-02-06,야간,C라인,PRD-001,40.2,5.52,3065.0,239.8,12.8,0.444,0
PP-00355,2024-02-07,주간,A라인,PRD-004,35.4,4.99,2807.0,190.3,16.1,0.287,0
PP-00356,2024-02-07,주간,A라인,PRD-001,40.2,5.26,3255.0,192.7,15.8,0.535,0
PP-00357,2024-02-07,야간,A라인,PRD-003,42.4,5.06,2725.0,202.9,11.2,,0
PP-00358,2024-02-07,야간,A라인,PRD-003,47.5,4.81,2918.0,205.1,15.2,0.987,0
PP-00359,2024-02-07,주간,B라인,PRD-006,35.5,5.67,3345.0,196.8,15.6,0.323,0
PP-00360,2024-02-07,주간,B라인,PRD-005,34.6,4.51,3386.0,182.2,10.7,0.273,0
PP-00361,2024-02-07,야간,B라인,PRD-005,38.3,5.26,2919.0,215.3,10.7,0.553,0
PP-00362,2024-02-07,야간,B라인,PRD-002,37.2,4.81,2927.0,213.9,16.7,0.573,0
PP-00363,2024-02-07,주간,C라인,PRD-005,41.2,5.1,3085.0,220.1,15.2,0.456,0
PP-00364,2024-02-07,주간,C라인,PRD-001,37.7,4.9,2809.0,199.5,15.4,0.414,0
PP-00365,2024-02-07,야간,C라인,PRD-003,38.6,4.22,2905.0,251.5,14.0,0.279,0
PP-00366,2024-02-07,야간,C라인,PRD-005,41.4,5.81,2805.0,205.3,14.6,0.399,0
PP-00367,2024-02-08,주간,A라인,PRD-003,46.4,5.05,2900.0,207.0,15.4,0.602,0
PP-00368,2024-02-08,주간,A라인,PRD-004,41.9,5.05,2835.0,227.3,14.1,0.358,0
PP-00369,2024-02-08,야간,A라인,PRD-004,35.8,5.52,2603.0,199.9,13.0,0.619,0
PP-00370,2024-02-08,야간,A라인,PRD-004,44.0,4.93,2771.0,196.8,12.6,0.688,1
PP-00371,2024-02-08,주간,B라인,PRD-005,37.3,5.24,2978.0,209.1,14.0,0.633,0
PP-00372,2024-02-08,주간,B라인,PRD-005,39.3,4.86,3129.0,188.4,15.3,0.218,0
PP-00373,2024-02-08,야간,B라인,PRD-002,37.1,4.58,2703.0,198.8,15.6,0.128,0
PP-00374,2024-02-08,야간,B라인,PRD-006,38.6,5.69,2839.0,195.1,18.9,0.237,0
PP-00375,2024-02-08,주간,C라인,PRD-003,40.8,4.95,2973.0,179.0,13.8,0.183,0
PP-00376,2024-02-08,주간,C라인,PRD-005,39.5,4.9,2813.0,153.5,16.5,0.123,0
PP-00377,2024-02-08,야간,C라인,PRD-001,41.2,4.97,2807.0,180.9,18.5,0.467,0
PP-00378,2024-02-08,야간,C라인,PRD-005,39.4,5.11,3023.0,194.1,12.8,0.378,0
PP-00379,2024-02-09,주간,A라인,PRD-001,39.2,4.68,2916.0,186.4,13.5,0.3,0
PP-00380,2024-02-09,주간,A라인,PRD-003,47.1,4.85,3003.0,188.0,16.8,0.781,1
PP-00381,2024-02-09,야간,A라인,PRD-001,38.8,4.64,3382.0,224.6,15.9,0.428,0
PP-00382,2024-02-09,야간,A라인,PRD-001,47.0,5.16,3219.0,233.0,20.3,0.676,0
PP-00383,2024-02-09,주간,B라인,PRD-006,37.7,5.39,2838.0,222.5,15.5,0.218,0
PP-00384,2024-02-09,주간,B라인,PRD-006,35.0,5.34,2942.0,194.4,17.2,0.152,0
PP-00385,2024-02-09,야간,B라인,PRD-002,35.1,5.07,2825.0,213.2,15.5,0.179,0
PP-00386,2024-02-09,야간,B라인,PRD-006,39.7,4.47,2854.0,164.5,15.3,0.339,0
PP-00387,2024-02-09,주간,C라인,PRD-005,36.7,4.97,3332.0,192.7,12.1,0.597,0
PP-00388,2024-02-09,주간,C라인,PRD-005,42.2,4.48,3180.0,191.3,14.2,0.406,0
PP-00389,2024-02-09,야간,C라인,PRD-005,36.8,4.96,2495.0,205.2,14.0,0.247,0
PP-00390,2024-02-09,야간,C라인,PRD-003,38.8,5.1,2957.0,186.7,14.9,0.526,0
PP-00391,2024-02-10,주간,A라인,PRD-003,44.2,5.26,2580.0,176.7,14.4,0.578,0
PP-00392,2024-02-10,주간,A라인,PRD-003,38.1,5.1,3130.0,223.5,10.7,0.511,0
PP-00393,2024-02-10,주간,B라인,PRD-002,40.7,4.52,3254.0,193.7,,0.578,0
PP-00394,2024-02-10,주간,B라인,PRD-002,39.6,4.48,3008.0,211.8,15.8,0.299,0
PP-00395,2024-02-10,주간,C라인,PRD-005,38.2,3.93,3043.0,215.3,15.8,0.202,0
PP-00396,2024-02-10,주간,C라인,PRD-003,44.3,4.91,3163.0,220.8,13.6,0.707,0
PP-00397,2024-02-12,주간,A라인,PRD-003,39.7,4.45,3117.0,137.0,13.9,0.662,0
PP-00398,2024-02-12,주간,A라인,PRD-003,39.8,4.69,2573.0,216.4,17.0,0.632,0
PP-00399,2024-02-12,야간,A라인,PRD-001,42.1,5.08,3258.0,202.2,15.2,2.791,0
PP-00400,2024-02-12,야간,A라인,PRD-004,47.2,4.45,3306.0,173.1,11.3,0.421,0
PP-00401,2024-02-12,주간,B라인,PRD-005,37.3,4.15,3029.0,174.7,15.1,0.384,0
PP-00402,2024-02-12,주간,B라인,PRD-002,39.8,4.71,2803.0,199.3,15.8,0.155,0
PP-00403,2024-02-12,야간,B라인,PRD-006,39.5,5.0,3188.0,178.0,13.5,0.111,0
PP-00404,2024-02-12,야간,B라인,PRD-002,42.1,5.25,3395.0,168.5,15.5,0.52,0
PP-00405,2024-02-12,주간,C라인,PRD-001,37.7,5.47,3319.0,183.9,17.9,0.106,0
PP-00406,2024-02-12,주간,C라인,PRD-005,42.0,4.15,2922.0,186.5,14.1,,0
PP-00407,2024-02-12,야간,C라인,PRD-001,41.0,5.65,2964.0,159.9,13.7,0.169,0
PP-00408,2024-02-12,야간,C라인,PRD-003,44.3,4.88,3013.0,204.4,16.7,0.202,0
PP-00409,2024-02-13,주간,A라인,PRD-001,39.2,4.7,2846.0,205.3,12.4,0.4,0
PP-00410,2024-02-13,주간,A라인,PRD-001,34.5,5.44,2791.0,187.9,10.6,0.25,0
PP-00411,2024-02-13,야간,A라인,PRD-001,39.1,4.39,2690.0,205.0,12.7,0.263,0
PP-00412,2024-02-13,야간,A라인,PRD-003,48.1,4.99,2953.0,206.8,18.4,0.809,0
PP-00413,2024-02-13,주간,B라인,PRD-005,35.4,4.97,3210.0,201.8,15.4,0.13,0
PP-00414,2024-02-13,주간,B라인,PRD-002,35.8,4.08,3074.0,186.3,15.4,0.141,0
PP-00415,2024-02-13,야간,B라인,PRD-006,35.4,5.17,3265.0,180.3,16.9,0.253,0
PP-00416,2024-02-13,야간,B라인,PRD-005,37.3,4.66,2724.0,205.8,13.7,,0
PP-00417,2024-02-13,주간,C라인,PRD-001,41.8,5.27,2723.0,230.2,14.6,0.304,0
PP-00418,2024-02-13,주간,C라인,PRD-001,39.9,4.99,2897.0,208.1,18.3,0.469,0
PP-00419,2024-02-13,야간,C라인,PRD-003,38.3,4.68,3082.0,219.2,12.2,0.433,0
PP-00420,2024-02-13,야간,C라인,PRD-001,38.2,5.32,2994.0,182.5,18.0,0.711,0
PP-00421,2024-02-14,주간,A라인,PRD-003,40.1,5.17,3409.0,223.3,16.2,0.399,0
PP-00422,2024-02-14,주간,A라인,PRD-004,39.7,4.73,2994.0,198.9,15.1,0.257,0
PP-00423,2024-02-14,야간,A라인,PRD-004,,5.13,2383.0,190.2,18.4,1.394,0
PP-00424,2024-02-14,야간,A라인,PRD-004,44.2,4.98,2731.0,180.1,16.5,0.409,0
PP-00425,2024-02-14,주간,B라인,PRD-005,39.6,5.19,3118.0,194.7,16.5,0.337,0
PP-00426,2024-02-14,주간,B라인,PRD-006,35.6,5.15,3034.0,228.5,16.6,0.167,0
PP-00427,2024-02-14,야간,B라인,PRD-005,35.6,6.48,3382.0,210.8,12.4,0.199,0
PP-00428,2024-02-14,야간,B라인,PRD-006,37.8,5.26,2702.0,181.5,11.0,0.452,0
PP-00429,2024-02-14,주간,C라인,PRD-003,35.0,6.0,3171.0,206.6,17.4,0.278,0
PP-00430,2024-02-14,주간,C라인,PRD-005,36.1,5.25,2755.0,231.7,17.6,0.565,0
PP-00431,2024-02-14,야간,C라인,PRD-001,39.7,5.04,3338.0,200.3,15.8,0.592,0
PP-00432,2024-02-14,야간,C라인,PRD-005,,5.45,3159.0,183.0,13.7,0.115,0
PP-00433,2024-02-15,주간,A라인,PRD-004,37.1,5.43,3037.0,182.2,14.6,0.642,0
PP-00434,2024-02-15,주간,A라인,PRD-004,44.7,5.0,2976.0,227.0,13.3,0.739,0
PP-00435,2024-02-15,야간,A라인,PRD-003,42.2,6.09,3150.0,211.4,15.0,0.673,0
PP-00436,2024-02-15,야간,A라인,PRD-003,44.3,5.24,3320.0,201.4,10.5,0.38,0
PP-00437,2024-02-15,주간,B라인,PRD-002,39.6,4.7,2867.0,202.9,15.8,0.422,0
PP-00438,2024-02-15,주간,B라인,PRD-005,39.0,4.81,3316.0,224.2,18.0,0.853,0
PP-00439,2024-02-15,야간,B라인,PRD-005,37.4,5.02,3056.0,170.8,14.0,0.155,0
PP-00440,2024-02-15,야간,B라인,PRD-002,35.5,4.44,3210.0,202.5,10.2,0.143,0
PP-00441,2024-02-15,주간,C라인,PRD-005,,4.53,3176.0,234.0,15.8,0.235,0
PP-00442,2024-02-15,주간,C라인,PRD-003,39.9,5.41,3113.0,214.9,18.9,0.664,0
PP-00443,2024-02-15,야간,C라인,PRD-003,44.0,3.87,3206.0,199.7,14.4,0.108,0
PP-00444,2024-02-15,야간,C라인,PRD-001,41.3,5.15,3050.0,228.9,14.8,0.447,0
PP-00445,2024-02-16,주간,A라인,PRD-001,44.6,4.89,2955.0,192.4,,0.252,0
PP-00446,2024-02-16,주간,A라인,PRD-003,41.2,4.91,2658.0,214.5,16.0,0.546,0
PP-00447,2024-02-16,야간,A라인,PRD-004,51.6,4.71,2834.0,204.1,15.4,0.665,0
PP-00448,2024-02-16,야간,A라인,PRD-004,37.8,5.45,3346.0,211.2,18.3,0.3,0
PP-00449,2024-02-16,주간,B라인,PRD-005,38.7,5.94,2767.0,191.1,19.3,0.411,0
PP-00450,2024-02-16,주간,B라인,PRD-002,40.5,4.79,3235.0,194.5,12.3,0.388,0
PP-00451,2024-02-16,야간,B라인,PRD-002,40.2,5.24,3205.0,199.2,13.7,0.257,0
PP-00452,2024-02-16,야간,B라인,PRD-005,36.4,4.76,2890.0,185.2,14.8,0.302,1
PP-00453,2024-02-16,주간,C라인,PRD-001,43.9,4.77,3210.0,183.7,14.9,0.499,0
PP-00454,2024-02-16,주간,C라인,PRD-005,37.2,5.17,3324.0,206.5,13.5,0.138,0
PP-00455,2024-02-16,야간,C라인,PRD-001,36.7,4.59,2983.0,186.6,19.2,0.114,0
PP-00456,2024-02-16,야간,C라인,PRD-001,35.4,4.51,3284.0,188.3,15.3,0.166,0
PP-00457,2024-02-17,주간,A라인,PRD-001,40.5,5.96,3309.0,200.0,11.1,0.478,0
PP-00458,2024-02-17,주간,A라인,PRD-003,46.4,3.97,3198.0,194.5,14.9,,0
PP-00459,2024-02-17,주간,B라인,PRD-005,35.5,4.66,3262.0,183.6,18.2,0.716,0
PP-00460,2024-02-17,주간,B라인,PRD-006,36.9,4.93,2972.0,200.9,16.5,0.43,0
PP-00461,2024-02-17,주간,C라인,PRD-001,36.6,5.21,3041.0,203.2,13.4,0.177,0
PP-00462,2024-02-17,주간,C라인,PRD-005,40.5,6.01,2746.0,226.2,14.6,0.226,0
PP-00463,2024-02-19,주간,A라인,PRD-001,39.3,4.2,3087.0,214.8,18.5,0.418,0
PP-00464,2024-02-19,주간,A라인,PRD-003,41.0,4.63,3046.0,191.8,18.8,0.678,0
PP-00465,2024-02-19,야간,A라인,PRD-001,38.8,4.83,2848.0,208.9,16.0,0.411,0
PP-00466,2024-02-19,야간,A라인,PRD-001,42.2,4.43,2930.0,221.2,12.1,0.637,0
PP-00467,2024-02-19,주간,B라인,PRD-002,41.7,5.7,2974.0,226.8,17.2,0.145,0
PP-00468,2024-02-19,주간,B라인,PRD-005,35.9,5.05,2975.0,181.9,15.7,0.287,0
PP-00469,2024-02-19,야간,B라인,PRD-005,35.5,4.39,2947.0,213.8,17.6,0.206,0
PP-00470,2024-02-19,야간,B라인,PRD-002,32.4,5.47,2880.0,198.2,14.5,0.34,0
PP-00471,2024-02-19,주간,C라인,PRD-001,35.4,4.74,3329.0,194.2,14.2,0.261,1
PP-00472,2024-02-19,주간,C라인,PRD-001,43.8,4.83,3017.0,182.0,13.7,0.239,0
PP-00473,2024-02-19,야간,C라인,PRD-005,37.8,5.69,2944.0,236.1,14.2,0.11,1
PP-00474,2024-02-19,야간,C라인,PRD-003,43.7,4.84,2984.0,249.1,16.0,0.98,0
PP-00475,2024-02-20,주간,A라인,PRD-003,40.3,4.88,3120.0,218.5,14.7,1.233,0
PP-00476,2024-02-20,주간,A라인,PRD-001,44.7,4.66,2757.0,174.5,18.1,0.363,0
PP-00477,2024-02-20,야간,A라인,PRD-003,45.5,5.27,2984.0,203.6,16.0,0.324,0
PP-00478,2024-02-20,야간,A라인,PRD-003,45.4,4.75,2816.0,187.4,15.6,0.377,0
PP-00479,2024-02-20,주간,B라인,PRD-002,38.2,4.51,2940.0,194.0,17.7,0.104,0
PP-00480,2024-02-20,주간,B라인,PRD-005,37.5,5.03,3124.0,165.7,14.7,0.142,0
PP-00481,2024-02-20,야간,B라인,PRD-002,41.3,5.8,2806.0,220.4,10.8,0.596,0
PP-00482,2024-02-20,야간,B라인,PRD-005,37.7,4.51,2429.0,211.9,12.4,0.403,0
PP-00483,2024-02-20,주간,C라인,PRD-003,39.8,4.92,3063.0,184.9,15.1,0.208,0
PP-00484,2024-02-20,주간,C라인,PRD-003,45.4,4.53,2689.0,194.1,15.3,0.296,0
PP-00485,2024-02-20,야간,C라인,PRD-003,39.4,6.06,2840.0,243.6,21.0,0.138,0
PP-00486,2024-02-20,야간,C라인,PRD-003,38.3,4.78,3081.0,228.4,,,0
PP-00487,2024-02-21,주간,A라인,PRD-003,43.2,4.76,2713.0,202.4,11.5,0.343,0
PP-00488,2024-02-21,주간,A라인,PRD-001,44.5,5.2,2892.0,180.9,16.8,0.404,0
PP-00489,2024-02-21,야간,A라인,PRD-003,38.7,4.11,3314.0,174.5,17.1,0.622,0
PP-00490,2024-02-21,야간,A라인,PRD-001,43.4,4.52,2949.0,188.4,14.1,0.468,0
PP-00491,2024-02-21,주간,B라인,PRD-002,38.4,4.59,2981.0,207.6,14.5,1.093,0
PP-00492,2024-02-21,주간,B라인,PRD-006,36.6,4.96,2973.0,225.5,12.8,0.234,0
PP-00493,2024-02-21,야간,B라인,PRD-005,38.8,4.32,3235.0,188.2,12.2,0.359,0
PP-00494,2024-02-21,야간,B라인,PRD-005,35.3,5.21,3270.0,213.8,15.4,0.345,0
PP-00495,2024-02-21,주간,C라인,PRD-003,33.6,5.34,3017.0,189.4,18.0,0.185,0
PP-00496,2024-02-21,주간,C라인,PRD-003,39.4,5.21,2844.0,213.9,17.7,0.239,0
PP-00497,2024-02-21,야간,C라인,PRD-005,38.0,5.15,3080.0,209.5,14.4,0.253,0
PP-00498,2024-02-21,야간,C라인,PRD-001,37.1,5.22,3211.0,200.1,13.9,0.209,0
PP-00499,2024-02-22,주간,A라인,PRD-003,48.5,5.22,3113.0,221.1,14.3,0.472,0
PP-00500,2024-02-22,주간,A라인,PRD-001,45.4,4.79,3234.0,236.6,18.0,0.453,0
PP-00501,2024-02-22,야간,A라인,PRD-004,45.6,4.68,2262.0,205.1,13.7,0.542,0
PP-00502,2024-02-22,야간,A라인,PRD-001,45.7,5.38,3084.0,218.6,12.6,,0
PP-00503,2024-02-22,주간,B라인,PRD-002,34.9,4.57,3422.0,164.7,14.8,0.941,0
PP-00504,2024-02-22,주간,B라인,PRD-006,41.9,5.61,2930.0,220.1,12.6,0.102,0
PP-00505,2024-02-22,야간,B라인,PRD-006,37.4,4.55,2855.0,222.3,14.5,0.409,0
PP-00506,2024-02-22,야간,B라인,PRD-006,40.9,5.32,2855.0,234.3,15.3,0.248,0
PP-00507,2024-02-22,주간,C라인,PRD-001,39.5,5.82,3272.0,187.2,17.4,0.176,0
PP-00508,2024-02-22,주간,C라인,PRD-005,41.6,4.69,3088.0,207.8,13.5,0.493,0
PP-00509,2024-02-22,야간,C라인,PRD-005,41.7,4.93,2933.0,225.3,19.4,0.279,0
PP-00510,2024-02-22,야간,C라인,PRD-005,41.0,5.35,2603.0,222.4,12.7,0.763,0
PP-00511,2024-02-23,주간,A라인,PRD-001,39.9,5.64,2829.0,185.2,20.0,0.27,0
PP-00512,2024-02-23,주간,A라인,PRD-003,44.7,4.87,3173.0,233.1,11.6,0.915,0
PP-00513,2024-02-23,야간,A라인,PRD-004,36.6,5.39,3067.0,194.2,16.6,0.315,0
PP-00514,2024-02-23,야간,A라인,PRD-004,42.8,5.52,3167.0,210.1,14.8,0.435,0
PP-00515,2024-02-23,주간,B라인,PRD-006,37.7,5.48,2953.0,212.9,15.3,0.178,0
PP-00516,2024-02-23,주간,B라인,PRD-002,38.0,5.05,3181.0,235.5,,0.384,0
PP-00517,2024-02-23,야간,B라인,PRD-002,35.6,5.06,3164.0,145.8,,0.138,0
PP-00518,2024-02-23,야간,B라인,PRD-005,38.7,4.77,2906.0,209.9,13.9,0.109,0
PP-00519,2024-02-23,주간,C라인,PRD-005,40.2,4.8,3180.0,183.0,16.4,0.189,0
PP-00520,2024-02-23,주간,C라인,PRD-001,40.1,4.68,3114.0,220.5,14.1,0.572,0
PP-00521,2024-02-23,야간,C라인,PRD-001,40.5,4.45,2716.0,191.9,16.1,0.201,0
PP-00522,2024-02-23,야간,C라인,PRD-001,38.1,5.35,3149.0,204.5,10.9,1.262,0
PP-00523,2024-02-24,주간,A라인,PRD-004,38.4,5.59,2946.0,191.1,13.8,0.385,0
PP-00524,2024-02-24,주간,A라인,PRD-003,40.0,4.32,3287.0,203.2,13.9,0.508,0
PP-00525,2024-02-24,주간,B라인,PRD-002,38.5,5.08,2514.0,222.5,15.9,0.126,0
